Ac-224,3.10E-08,9.80E-10,3.80E-08,1.00E-04,1.60E-02
Ac-225,2.20E-06,3.80E-08,5.00E-09,2.00E-05,1.60E-02
Ac-226,3.10E-07,1.40E-08,2.40E-08,1.00E-03,1.60E-02
Ac-227,1.10E-03,2.30E-06,1.00E-09,1.00E-06,1.60E-02
Ac-228,5.00E-08,4.50E-10,1.45E-07,2.00E-03,1.60E-02
Ag-102,1.00E-11,3.90E-11,5.46E-07,8.00E-04,1.60E-02
Ag-103,1.60E-11,3.70E-11,1.25E-07,5.00E-04,1.60E-02
Ag-104,1.80E-11,5.20E-11,4.10E-07,3.00E-04,1.60E-02
Ag-104m,1.70E-11,4.90E-11,1.88E-07,4.00E-04,1.60E-02
Ag-105,1.20E-09,5.60E-10,1.02E-07,5.00E-05,1.60E-02
Ag-106,9.70E-12,3.10E-11,1.17E-07,7.00E-04,1.60E-02
Ag-106m,1.60E-09,1.70E-09,4.35E-07,6.00E-05,1.60E-02
Ag-108,7.20E-08,2.10E-09,2.36E-07,1.00E-04,1.60E-02
Ag-108m,7.20E-08,2.10E-09,2.36E-07,1.00E-04,1.60E-02
Ag-110,2.10E-08,2.90E-09,4.09E-07,5.00E-04,1.60E-02
Ag-110m,2.10E-08,2.90E-09,4.09E-07,5.00E-04,1.60E-02
Ag-111,1.90E-09,1.90E-09,4.00E-09,1.00E-03,1.60E-02
Ag-112,1.70E-10,4.00E-10,6.40E-07,1.00E-03,1.60E-02
Ag-115,2.00E-11,6.20E-11,1.81E-07,1.00E-03,1.60E-02
Al-26,2.10E-08,4.70E-09,3.28E-07,1.00E-03,1.60E-02
Al-28,1.40E-09,2.40E-09,5.29E-07,2.00E-03,1.60E-02
Am-237,6.40E-12,1.50E-11,7.30E-08,8.00E-04,1.60E-02
Am-238,1.40E-10,3.10E-11,1.45E-07,6.00E-05,1.60E-02
Am-239,1.20E-10,2.60E-10,5.90E-08,1.00E-03,1.60E-02
Am-240,4.60E-10,7.00E-10,1.71E-07,5.00E-05,1.60E-02
Am-241,7.40E-05,5.80E-07,1.90E-08,6.00E-06,1.60E-02
Am-242,1.20E-08,3.90E-10,9.00E-09,1.00E-03,1.60E-02
Am-242m,6.70E-05,5.50E-07,6.00E-09,2.00E-06,1.60E-02
Am-243,7.10E-05,5.80E-07,1.40E-08,2.00E-06,1.60E-02
Am-244,2.80E-09,4.90E-10,1.45E-07,3.00E-03,1.60E-02
Am-244m,1.20E-10,2.80E-11,2.00E-09,1.00E-03,1.60E-02
Am-245,2.00E-11,4.40E-11,7.00E-09,2.00E-03,1.60E-02
Am-246,1.60E-11,5.30E-11,1.35E-07,4.00E-03,1.60E-02
Am-246m,8.60E-12,3.30E-11,1.54E-07,1.00E-03,1.60E-02
Ar-39,0.00E+00,0.00E+00,1.00E-09,2.00E-03,1.60E-02
Ar-41,0.00E+00,0.00E+00,1.88E-07,1.00E-03,1.60E-02
As-69,1.40E-11,5.60E-11,2.50E-07,9.00E-04,1.60E-02
As-70,3.40E-11,1.20E-10,6.03E-07,1.00E-03,1.60E-02
As-71,3.70E-10,4.70E-10,8.80E-08,7.00E-04,1.60E-02
As-72,1.20E-09,1.90E-09,3.39E-07,9.00E-04,1.60E-02
As-73,9.60E-10,2.50E-10,3.00E-09,2.00E-05,1.60E-02
